epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1132.7,2.7373,3.14953,3.21721,0.43458,0.44293,0.37555,0.1682,2.17233,2.56148,2.59642,0.000474373,0.000474373,0.000474373
2,2383.23,1.6563,1.50409,2.07878,0.81786,0.88195,0.90168,0.53048,1.48379,1.19591,1.91188,0.000856587,0.000856587,0.000856587
3,3616.56,1.37278,1.0495,1.76821,0.92255,0.92298,0.95242,0.64682,1.16411,0.93828,1.61598,0.00114449,0.00114449,0.00114449
4,4612.74,1.217,0.83268,1.59838,0.96849,0.95388,0.9831,0.69283,1.08255,0.68978,1.49827,0.00100459,0.00100459,0.00100459
5,5590.27,1.13277,0.72163,1.51541,0.98065,0.96825,0.98983,0.73096,0.99559,0.59494,1.42676,0.000863116,0.000863116,0.000863116
6,6568.83,1.0645,0.64715,1.43967,0.98691,0.97849,0.99154,0.72803,0.99191,0.56193,1.432,0.000721645,0.000721645,0.000721645
7,7552.15,1.00386,0.59615,1.39135,0.98913,0.97765,0.99057,0.73867,0.97209,0.53704,1.39533,0.000580174,0.000580174,0.000580174
8,8532.25,0.95706,0.55481,1.34813,0.98525,0.98059,0.99202,0.78465,0.84046,0.4782,1.2906,0.000438703,0.000438703,0.000438703
9,9512.98,0.91264,0.52694,1.3041,0.98658,0.99086,0.99226,0.78905,0.8141,0.46102,1.26429,0.000297232,0.000297232,0.000297232
10,10494.8,0.86918,0.50269,1.27659,0.9946,0.98905,0.99456,0.80629,0.76985,0.44159,1.2429,0.000155761,0.000155761,0.000155761
