epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,385.852,3.81406,6.51274,4.82069,4.19126,0.00165,0.10294,0.00113,0.00033,0,0,0,0,3.68595,5.15038,4.13158,4.09388,0.000654971,0.000654971,0.000654971
2,777.601,3.73323,4.50108,4.37072,3.92146,0.00118,0.07353,0.00071,0.00024,0,0,0,0,3.69477,6.16899,4.03097,4.1443,0.0011908,0.0011908,0.0011908
3,1161.18,3.35853,3.35227,3.63545,3.25912,0.10688,0.09559,0.04574,0.01232,0.1184,0.0864,0.03746,0.01134,3.27963,4.92311,4.13823,3.88061,0.00159462,0.00159462,0.00159462
4,1523.6,3.10478,2.92255,3.17421,2.85772,0.0729,0.13235,0.03517,0.01099,0.05167,0.18566,0.02086,0.00634,3.03578,3.00521,3.99787,3.77893,0.001406,0.001406,0.001406
5,1854.6,2.9951,2.75019,2.93465,2.6961,0.11041,0.09007,0.0396,0.01138,0.0896,0.08272,0.02107,0.00728,3.18153,3.90311,3.34273,3.01016,0.001208,0.001208,0.001208
6,2188.99,2.8499,2.60771,2.76836,2.54112,0.29713,0.18199,0.15393,0.05442,0.3109,0.20221,0.16428,0.054,2.77869,2.37978,2.70114,2.61415,0.00101,0.00101,0.00101
7,2528,2.79734,2.53944,2.65251,2.4419,0.31995,0.18934,0.1679,0.06447,0.34075,0.20588,0.18137,0.0642,2.73462,2.27017,2.59879,2.58637,0.000812,0.000812,0.000812
8,2866.19,2.72619,2.48625,2.56063,2.38248,0.32746,0.22426,0.19492,0.07344,0.31672,0.21691,0.1678,0.05637,2.58616,2.13991,2.50418,2.46949,0.000614,0.000614,0.000614
9,3204.06,2.64504,2.39412,2.45896,2.31393,0.3827,0.23713,0.21757,0.085,0.35628,0.22688,0.19217,0.06513,2.50413,2.08644,2.43568,2.42285,0.000416,0.000416,0.000416
10,3566.93,2.5912,2.33764,2.40429,2.27769,0.37578,0.24632,0.22102,0.092,0.34854,0.25919,0.22412,0.08467,2.48425,2.04802,2.38298,2.36913,0.000218,0.000218,0.000218
