epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.493,3.90026,6.05482,4.0501,4.07891,0.001,0.0471,0.00059,0.00018,0,0,0,0,4.17178,5.29598,4.07834,4.10426,0.000656716,0.000656716,0.000656716
2,173.536,3.19095,3.06091,3.03382,2.97307,0.24693,0.09341,0.06354,0.02228,0.25731,0.09733,0.07186,0.03016,3.45256,4.41571,3.11468,3.12034,0.00131028,0.00131028,0.00131028
3,219.185,2.74366,2.63963,2.46583,2.32992,0.40554,0.32889,0.28694,0.08429,0.40607,0.32182,0.27067,0.07637,2.69552,2.33103,2.76304,2.16612,0.00195065,0.00195065,0.00195065
4,262.175,2.50618,2.39097,2.16444,2.08788,0.57985,0.32653,0.36752,0.1349,0.56451,0.3179,0.34725,0.12103,2.50481,2.13769,2.10397,2.06348,0.0019406,0.0019406,0.0019406
5,308.041,2.36043,2.30735,2.00057,1.96124,0.55349,0.38854,0.42282,0.1631,0.55821,0.38226,0.41357,0.15048,2.3,2.08442,1.92136,1.90789,0.0019208,0.0019208,0.0019208
6,353.028,2.23058,2.22825,1.88979,1.89977,0.58693,0.3854,0.44436,0.17543,0.56088,0.34066,0.38507,0.13407,2.24809,2.03727,1.89811,1.85827,0.001901,0.001901,0.001901
7,398.32,2.15319,2.22459,1.79175,1.85072,0.57933,0.43014,0.46931,0.17876,0.55072,0.38697,0.40576,0.12999,2.13858,2.04358,1.84563,1.79226,0.0018812,0.0018812,0.0018812
8,444.517,2.09092,2.17348,1.74283,1.79848,0.58654,0.50109,0.53395,0.22174,0.58274,0.44349,0.47848,0.16428,2.01293,2.00338,1.65105,1.7094,0.0018614,0.0018614,0.0018614
9,491.43,2.02838,2.15999,1.66312,1.75636,0.54953,0.48116,0.51781,0.21055,0.51368,0.44976,0.44974,0.16516,1.99085,1.95491,1.78644,1.67835,0.0018416,0.0018416,0.0018416
10,542.759,1.974,2.09087,1.60769,1.71474,0.56586,0.47471,0.51055,0.20904,0.5255,0.42072,0.43449,0.13393,2.01234,1.94658,1.7403,1.67751,0.0018218,0.0018218,0.0018218
11,593.339,1.93582,2.09873,1.55053,1.68413,0.60333,0.55887,0.5977,0.27623,0.57988,0.53454,0.55612,0.21539,1.83903,1.87048,1.53381,1.58937,0.001802,0.001802,0.001802
12,643.661,1.8984,2.08383,1.51316,1.64814,0.53875,0.54368,0.54463,0.2458,0.5159,0.46703,0.47681,0.16722,1.88688,1.96124,1.55446,1.59646,0.0017822,0.0017822,0.0017822
13,694.234,1.86261,2.06669,1.47027,1.62493,0.57716,0.47174,0.51497,0.22885,0.59073,0.42599,0.4783,0.17933,1.93198,2.04158,1.72203,1.64794,0.0017624,0.0017624,0.0017624
14,741.764,1.83625,2.06111,1.45351,1.59813,0.6018,0.6044,0.61064,0.28169,0.59285,0.52747,0.55525,0.20698,1.81421,1.88917,1.49762,1.55215,0.0017426,0.0017426,0.0017426
15,787.29,1.79542,2.06508,1.42205,1.57585,0.62092,0.56279,0.58553,0.26363,0.58741,0.50847,0.51964,0.185,1.87618,2.00095,1.55265,1.56743,0.0017228,0.0017228,0.0017228
16,832.531,1.78493,2.03846,1.38426,1.55695,0.62117,0.61007,0.63825,0.29397,0.59615,0.56593,0.5648,0.20167,1.79194,1.82388,1.40409,1.53556,0.001703,0.001703,0.001703
17,878.052,1.74776,2.03239,1.3675,1.52885,0.58694,0.56829,0.58558,0.28011,0.56703,0.51334,0.52299,0.18286,1.76034,1.82388,1.42526,1.51369,0.0016832,0.0016832,0.0016832
18,923.509,1.72459,2.00539,1.33047,1.51544,0.63872,0.5759,0.63675,0.30563,0.61406,0.53846,0.57151,0.22327,1.7264,1.8828,1.38883,1.46722,0.0016634,0.0016634,0.0016634
19,968.964,1.69453,1.98646,1.31408,1.48945,0.65621,0.60911,0.64322,0.30886,0.65547,0.56201,0.5875,0.21862,1.7402,1.87228,1.37475,1.47702,0.0016436,0.0016436,0.0016436
20,1014.27,1.68911,1.99869,1.31354,1.48508,0.65025,0.58664,0.6278,0.31806,0.62995,0.53448,0.55335,0.20186,1.63158,1.79245,1.36245,1.41557,0.0016238,0.0016238,0.0016238
